Date,Close
1/20/2017 16:00:00,51.68
1/23/2017 16:00:00,51.07
1/24/2017 16:00:00,51.64
1/25/2017 16:00:00,51.99
1/26/2017 16:00:00,52
1/27/2017 16:00:00,51.47
1/30/2017 16:00:00,50.5
1/31/2017 16:00:00,50.48
2/1/2017 16:00:00,50.15
2/2/2017 16:00:00,50.44
2/3/2017 16:00:00,50.95
2/6/2017 16:00:00,50.43
2/7/2017 16:00:00,49.67
2/8/2017 16:00:00,49.73
2/9/2017 16:00:00,50.24
2/10/2017 16:00:00,50.65
2/13/2017 16:00:00,50.67
2/14/2017 16:00:00,50.89
2/15/2017 16:00:00,50.68
2/16/2017 16:00:00,49.96
2/17/2017 16:00:00,49.67
2/21/2017 16:00:00,50.04
2/22/2017 16:00:00,49.19
2/23/2017 16:00:00,49.37
2/24/2017 16:00:00,48.86
2/27/2017 16:00:00,49.32
2/28/2017 16:00:00,49.13
3/1/2017 16:00:00,50.19
3/2/2017 16:00:00,49.65
3/3/2017 16:00:00,49.49
3/6/2017 16:00:00,49.63
3/7/2017 16:00:00,49.18
3/8/2017 16:00:00,47.85
3/9/2017 16:00:00,48.08
3/10/2017 16:00:00,48.06
3/13/2017 16:00:00,48.1
3/14/2017 16:00:00,47.51
3/15/2017 16:00:00,48.58
3/16/2017 16:00:00,48.29
3/17/2017 16:00:00,48.24
3/20/2017 16:00:00,48.18
3/21/2017 16:00:00,47.76
3/22/2017 16:00:00,47.67
3/23/2017 16:00:00,47.23
3/24/2017 16:00:00,47.04
3/27/2017 16:00:00,46.89
3/28/2017 16:00:00,47.56
3/29/2017 16:00:00,48.22
3/30/2017 16:00:00,48.38
3/31/2017 16:00:00,48.31
4/3/2017 16:00:00,48.19
4/4/2017 16:00:00,48.56
4/5/2017 16:00:00,48.29
4/6/2017 16:00:00,48.72
4/7/2017 16:00:00,48.51
4/10/2017 16:00:00,48.94
4/11/2017 16:00:00,48.91
4/12/2017 16:00:00,48.64
4/13/2017 16:00:00,47.7
4/17/2017 16:00:00,47.79
4/18/2017 16:00:00,47.37
4/19/2017 16:00:00,46.6
4/20/2017 16:00:00,46.77
4/21/2017 16:00:00,46.58
4/24/2017 16:00:00,46.84
4/25/2017 16:00:00,47.34
4/26/2017 16:00:00,47.16
4/27/2017 16:00:00,46.59
4/28/2017 16:00:00,46.6
5/1/2017 16:00:00,46.49
5/2/2017 16:00:00,46.24
5/3/2017 16:00:00,46.36
5/4/2017 16:00:00,45.35
5/5/2017 16:00:00,46.24
5/8/2017 16:00:00,46.57
5/9/2017 16:00:00,46.14
5/10/2017 16:00:00,46.81
5/11/2017 16:00:00,46.71
5/12/2017 16:00:00,46.54
5/15/2017 16:00:00,46.89
