Date,2014,2015,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,2016,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,2017,18-May,18-Jun,18-Jul,18-Aug,18-Sep,2018,2019,2020,21-Feb,21-Mar,21-Apr,21-May,21-Jun,2021,22-Feb,22-Mar,22-Apr,22-May,22-Jun,2021,2022,23-May,23-Jun,23-Jul,23-Aug,23-Sep
short-term,91,96,84,80,81,92,86,86,127,100,106,120,127,110,154,137,88,123,123,138,139,95,149,127,109,117,111,116,144,168,121,109,124,116,127,124,102,117,118,130
long-term,12,14,12,13,13,15,14,13,15,12,12,12,13,14,17,16,13,16,16,15,13,11,18,13,14,12,14,14,21,19,18,13,14,14,19,21,21,23,21,22
Foreign exchange,908,1016,1044,1169,1924,1502,1062,1256,1807,1363,1403,1703,1823,1413,1297,1336,949,1121,1366,1491,1758,1113,1350,1244,931,978,1179,1135,1561,1647,988,1065,1178,1135,1316,1861,1567,1224,1242,1298
North America,900,1006,1036,1161,1915,1491,1053,1248,1798,1356,1396,1697,1815,1405,1287,1327,942,1113,1358,1482,1753,1108,1346,1240,928,974,1175,1131,1556,1643,983,1061,1174,1131,1311,1857,1562,1219,1237,1293
Interest rate,841,949,990,1114,1861,1427,1004,1192,1710,1294,1324,1624,1727,1330,1184,1231,879,1025,1270,1383,1646,1034,1231,1140,846,884,1083,1041,1454,1519,888,971,1075,1041,1212,1749,1475,1119,1124,1185
short-term,59,57,46,47,54,63,50,56,88,62,72,73,87,74,103,96,63,88,89,99,107,74,114,100,82,90,92,91,102,124,95,89,99,91,99,108,87,100,114,109
long-term,9,10,8,9,9,11,9,8,9,7,7,6,8,9,10,9,7,8,7,8,6,4,4,4,3,4,5,4,5,4,5,4,4,4,4,4,5,5,4,5
Foreign exchange,387,249,513,363,435,484,247,230,213,120,242,231,433,260,396,280,159,231,232,294,304,279,482,313,365,362,236,367,737,617,509,518,601,367,466,289,271,318,344,567
Europe,387,249,513,363,435,484,247,230,213,120,242,231,433,259,396,279,159,230,232,294,304,279,482,313,365,362,235,367,737,617,509,518,601,367,466,289,271,318,344,567
Interest rate,360,214,477,333,411,461,214,205,178,85,212,187,396,227,347,241,138,199,200,258,275,259,448,287,339,335,217,342,696,574,483,499,576,342,440,273,257,301,340,545
short-term,27,35,36,30,23,24,33,26,35,35,30,44,37,33,49,39,21,31,32,36,29,20,34,26,27,27,19,25,41,43,26,19,25,25,26,16,15,17,4,21
long-term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foreign exchange,6,6,4,4,6,7,6,6,7,5,5,6,5,6,7,7,8,9,9,8,8,6,7,8,10,7,8,9,16,14,12,8,10,9,15,15,16,17,15,16
